constants ,,,,Time,omega,Theta
g(m/s),9.81,,,0,0,0.785398
length (m),1,,,0.1,-0.693671639,0.716030836
time step (s),0.1,,,0.2,-1.337595571,0.582271279
,,,,0.3,-1.877069408,0.394564338
initial conditions,,,,0.4,-2.254171731,0.169147165
Angle at t=0,0.785398163,,,0.5,-2.419314984,-0.072784333
Angular speed at t=0,0,,,0.6,-2.347976579,-0.307581991
,,,,0.7,-2.050973928,-0.512679384
,,,,0.8,-1.569779783,-0.669657362
,,,,0.9,-0.960856029,-0.765742965
,,,,1,-0.280951642,-0.79383813
,,,,1.1,0.4185499,-0.751983139
,,,,1.2,1.088659679,-0.643117172
,,,,1.3,1.676958322,-0.475421339
,,,,1.4,2.125974874,-0.262823852
,,,,1.5,2.380846978,-0.024739154
,,,,1.6,2.405113613,0.215772207
,,,,1.7,2.195079754,0.435280183
,,,,1.8,1.781426905,0.613422873
,,,,1.9,1.216694979,0.735092371
,,,,2,0.55878176,0.790970547
,,,,2.1,-0.138744608,0.777096086
,,,,2.2,-0.826633604,0.694432726
,,,,2.3,-1.454424201,0.548990306
,,,,2.4,-1.966335677,0.352356738
,,,,2.5,-2.304889282,0.12186781
,,,,2.6,-2.424145896,-0.12054678
,,,,2.7,-2.306175705,-0.35116435
,,,,2.8,-1.968720206,-0.548036371
,,,,2.9,-1.457607258,-0.693797097
,,,,3,-0.830295936,-0.77682669
,,,,3.1,-0.142595382,-0.791086228
,,,,3.2,0.555010778,-0.735585151
,,,,3.3,1.2132825,-0.614256901
,,,,3.4,1.778683242,-0.436388576
,,,,3.5,2.19332178,-0.217056398
,,,,3.6,2.404586043,0.023402206
,,,,3.7,2.381630575,0.261565263
,,,,3.8,2.127950949,0.474360358
,,,,3.9,1.679860045,0.642346363
,,,,4,1.092166682,0.751563031
,,,,4.1,0.422357952,0.793798826
,,,,4.2,-0.277116557,0.76608717
,,,,4.3,-0.957264316,0.670360739
,,,,4.4,-1.566728912,0.513687848
,,,,4.5,-2.048784924,0.308809355
,,,,4.6,-2.346934887,0.074115866
,,,,4.7,-2.419576005,-0.167841734
,,,,4.8,-2.255695243,-0.393411258
,,,,4.9,-1.879637427,-0.581375001
,,,,5,-1.34089817,-0.715464818
,,,,5.1,-0.697393241,-0.785204142
,,,,5.2,-0.003856089,-0.785589751
,,,,5.3,0.68994855,-0.716594896
,,,,5.4,1.334289831,-0.583165913
,,,,5.5,1.874496467,-0.395716266
,,,,5.6,2.252641753,-0.170452091
,,,,5.7,2.419046729,0.071452582
,,,,5.8,2.349011375,0.306353719
,,,,5.9,2.053157333,0.511669453
,,,,6,1.572826799,0.668952133
,,,,6.1,0.964445616,0.765396694
,,,,6.2,0.284786143,0.793875309
,,,,6.3,-0.414740971,0.752401212
,,,,6.4,-1.085150223,0.643886189
,,,,6.5,-1.674052391,0.47648095
,,,,6.6,-2.12399289,0.264081661
,,,,6.7,-2.380056331,0.026076028
,,,,6.8,-2.405634016,-0.214487374
,,,,6.9,-2.196831524,-0.434170526
,,,,7,-1.784165996,-0.612587126
,,,,7.1,-1.220104658,-0.734597591
,,,,7.2,-0.562551559,-0.790852747
,,,,7.3,0.134893546,-0.777363393
,,,,7.4,0.822969474,-0.695066445
,,,,7.5,1.451237653,-0.54994268
,,,,7.6,1.963945885,-0.353548091
,,,,7.7,2.303596164,-0.123188475
,,,,7.8,2.424138637,0.119225389
,,,,7.9,2.307455426,0.349970931
,,,,8,1.971099465,0.547080878
,,,,8.1,1.460786814,0.693159559
,,,,8.2,0.83395646,0.776555205
,,,,8.3,0.14644586,0.791199791
,,,,8.4,-0.551238621,0.736075929
,,,,8.5,-1.209867232,0.615089206
,,,,8.6,-1.775935017,0.437495704
,,,,8.7,-2.191557608,0.218339943
,,,,8.8,-2.40405131,-0.022065188
,,,,8.9,-2.382407117,-0.260305899
,,,,9,-2.129921106,-0.47329801
,,,,9.1,-1.682757548,-0.641573765
,,,,9.2,-1.09567122,-0.751140887
,,,,9.3,-0.426165119,-0.793757399
,,,,9.4,0.273280896,-0.766429309
,,,,9.5,0.953670485,-0.671062261
,,,,9.6,1.563674197,-0.514694841
,,,,9.7,2.04659033,-0.310035808
,,,,9.8,2.345886305,-0.075447177
,,,,9.9,2.419829788,0.166535802
,,,,10,2.257212283,0.39225703
,,,,10.1,1.882200516,0.580477081
,,,,10.2,1.344197616,0.714896843
,,,,10.3,0.701113347,0.785008178
,,,,10.4,0.00771217,0.785779395
,,,,10.5,-0.686223982,0.717156997
,,,,10.6,-1.330980958,0.584058901
,,,,10.7,-1.871918614,0.396867039
,,,,10.8,-2.251105317,0.171756508
,,,,10.9,-2.418771239,-0.070120616
,,,,11,-2.350039272,-0.305124543
,,,,11.1,-2.055335131,-0.510658056
,,,,11.2,-1.575869952,-0.668245052
,,,,11.3,-0.968033067,-0.765048358
,,,,11.4,-0.28862005,-0.793910363
,,,,11.5,0.410931173,-0.752817246
,,,,11.6,1.081638322,-0.644653414
,,,,11.7,1.67114226,-0.477539188
,,,,11.8,2.122005006,-0.265338687
,,,,11.9,2.379258637,-0.027412824
,,,,12,2.406147249,0.213201901
,,,,12.1,2.198577082,0.43305961
,,,,12.2,1.786900504,0.61174966
,,,,12.3,1.223511529,0.734100813
,,,,12.4,0.566320166,0.790732829
,,,,12.5,-0.131042205,0.777628609
,,,,12.6,-0.819303555,0.695698253
,,,,12.7,-1.448047624,0.550893491
,,,,12.8,-1.961550841,0.354738407
,,,,12.9,-2.302296356,0.124508771
,,,,13,-2.42412412,-0.117903641
,,,,13.1,-2.30872844,-0.348776485
,,,,13.2,-1.973473442,-0.546123829
,,,,13.3,-1.463962859,-0.692520115
,,,,13.4,-0.837615169,-0.776281632
,,,,13.5,-0.150296035,-0.791311235
,,,,13.6,0.547465297,-0.736564705
,,,,13.7,1.206449184,-0.615919787
,,,,13.8,1.773182238,-0.438601563
,,,,13.9,2.189787247,-0.219622839
,,,,14,2.403509414,0.020728103
